mlbam,bbref,fangraphs,retro,name
702695,,,,Easton Carmichael
678110,,,,Thomas Little
660583,,,,Lenin Rodriguez
834704,,,,Deimer Rodriguez
809340,,,,Austin Troesser
683150,,,,Cutter Clawson
624414,arroych01,16434,arroc001,Christian Arroyo
685308,,,,Pauly Milto
835495,,,,Junior Medina
686489,,,,Chandler Murphy
688760,crimbl01,25714,crimb001,Blaine Crim
657265,strzepe01,21367,strzp001,Peter Strzelecki
656472,,,,Jakob Goldfarb
815665,,,,Brendan Tunink
687055,,,,Zach Ashford
687028,,,,Matt Walker
686681,massemi02,27684,massm001,Michael Massey
687614,,,,Parker Bates
688609,,,,Hunter Parks
687731,,,,Trevor Werner
701528,,,,Cameron Butler
686437,,,,Joeli Martínez
687521,,,,Eric Brown
687090,,,,Nic Gaddis
688403,,,,Michael Sandle
701388,,,,Jurrangelo Cijntje
666185,carlsdy01,20126,carld002,Dylan Carlson
702616,hollija01,31781,hollj003,Jackson Holliday
675628,,,,Darius Hill
802371,,,,Christian Worley
689984,,,,Zach Arnold
679766,,,,Hunter Hearn
686531,lipcian01,25822,lipca001,Andre Lipcius
815300,,,,Hayden Robinson
693483,,,,Pat Gallagher
806258,,,,Thomas White
679631,vavrate01,24400,vavrt001,Terrin Vavra
676026,,,,Holden Powell
805823,,,,Paul Bonzagni
694848,,,,Sam Brown
680951,nikhado01,30142,nikhd001,Doug Nikhazy
810891,,,,Jay Beshears
806581,,,,Nick Merkel
842192,,,,Stephen Still
683009,,,,Andre Tarver
676961,boushca01,19736,bousc001,Caleb Boushley
688864,,,,Austin Wahl
800056,,,,Jace Grady
658551,fernaju01,18496,fernj006,Junior Fernández
805958,,,,Jackson Kelley
693440,,,,Taylor Dollard
668211,,,,Justin Gomez
694808,,,,Zach Kokoska
813768,,,,Blake Hammond
687422,,,,Christopher Mauloni
686642,ellarfr01,29530,ellaf001,Fraser Ellard
685379,,,,Juan De Los Santos
687589,hameldo01,30153,hamed001,Dom Hamel
815816,,,,Brady Ebel
828511,,,,Michael Caldon
687071,,,,Shane Sasaki
681377,,,,Josh Hood
822760,,,,Sam Garcia
687310,,,,Will Simpson
810830,,,,Jake Knapp
815531,,,,Gabriel Rosado
689912,,,,Logan Van Treeck
702550,,,,Chandler Pollard
803679,,,,Sammy Hernandez
814779,,,,Mac Rose
701833,,,,Jordan Viars
682878,,,,Mishael Deson
663469,,,,Lorenzo Hampton
703686,,,,Esmerlyn Valenzuela
677049,,,,Josh Hatcher
686601,,,,Drew Campbell
693313,seymoca01,30084,seymc001,Carson Seymour
670232,,,,Ramón Rodriguez
672021,ceraner01,,,Eric Cerantola
663953,,,,A. J. Bumpass
702129,,,,Alex Pham
681035,scottch01,30107,scotc001,Christian Scott
622459,,,,Cristian Alvarado
686528,,,,D. J. Uiagalelei
834243,,,,Sean Episcope
815044,,,,Sam Mongelli
801333,,,,Johnathan Harmon
694977,,,,Nate Nankil
806495,,,,Kale Fountain
693311,,,,Tink Hence
815314,,,,Elijah Ickes
689981,ryanri01,29514,ryanr003,River Ryan
804530,,,,Joseph Dzierwa
820830,,,,Justin Loer
828244,,,,Kruz Schoolcraft
664690,,,,AJ Graffanino
688944,,,,Max Gieg
620443,torrelu01,15905,torrl001,Luis Torrens
806311,,,,Tommy Stevenson
813943,,,,Balian Caraballo
686846,,,,Reggie Crawford
831989,,,,Roynel Confidente
661269,gutievl01,19278,gutiv001,Vladimir Gutiérrez
694388,loperjo01,29630,lopej008,Joey Loperfido
691342,,,,José Ramírez
687242,,,,Justin Miknis
805672,priceco01,,,Collin Price
825100,,,,Kevin Warunek
703448,,,,Cam Cannarella
686960,,,,Nate Baez
687226,,,,Chris McElvain
656282,,,,Grayson Byrd
686661,,,,Jonathan Allen
663848,,,,Josh Watson
596451,quinnro01,13546,quinr003,Roman Quinn
805238,,,,Cesar Espinal
827603,,,,Jayden Voelker
800059,,,,Dalton Rogers
681216,,,,Tyler Woessner
800621,,,,Logun Clark
666148,,,,Drake Fellows
808280,,,,Kevin Velasco
802996,,,,Rob Hensey
701000,,,,Ryan Och
805891,,,,Taylor Young
605288,housead01,12718,housa001,Adrian Houser
695763,,,,Sam Petersen
683175,phillco01,27649,philc001,Connor Phillips
694876,ingleco01,,,Cooper Ingle
668791,,,,Anthony Prato
687426,,,,Glenn Santiago
823182,,,,Braylon Owens
807277,,,,Nick Montgomery
687401,ortizjo06,25493,ortij005,Joey Ortiz
691172,zulueyo01,27765,zuluy001,Yosver Zulueta
695276,,,,Jacoby Long
690981,,,,Lucas Gordon
805363,,,,Chris Clark
698939,,,,Elvis Polanco
621074,ruckemi01,19454,ruckm001,Michael Rucker
805266,,,,Jacob Bimbi
643376,janseda01,16535,jansd001,Danny Jansen
672012,blackty01,29949,blact003,Tyler Black
806076,,,,Gabe Gaeckle
803385,,,,Jay Harry
688525,,,,Dan Pruitt
689858,,,,Carmine Lane
801881,,,,Jacob Jenkins-Cowart
518435,barrema03,10148,barrm004,Manny Barreda
592407,holadbr01,11287,holab001,Bryan Holaday
686793,,,,J. T. Arruda
803291,,,,Christian Oppor
815632,,,,Tytus Cissell
689199,,,,Luke Schiltz
687107,,,,Andrew Peters
699530,,,,Cade Citelli
808283,,,,Jhon Bencosme
686912,,,,Max Romero
694581,,,,Dylan Carmouche
682631,,,,Eduarqui Fernandez
825926,,,,Bryant Olson
679738,,,,Petter Caty
