mlbam,bbref,fangraphs,retro,name
693304,gonzani01,27490,gonzn001,Nick Gonzales
676467,gordoco01,31312,gordc001,Colton Gordon
623465,phillev01,17734,phile001,Evan Phillips
491696,sucreje01,5942,sucrj001,Jesús Sucre
623993,santaan02,14551,santa003,Anthony Santander
669680,,,,Jaylon McLaughlin
690513,,,,Tom Archer
676713,,,,Xavier Moore
805999,ewingaj01,,,A. J. Ewing
813860,,,,Charlie Pagliarini
669649,,,,Ty Duvall
608422,godoyjo01,15808,godoj001,José Godoy
696146,,,,Hagen Smith
702674,danaca01,31508,danac001,Caden Dana
656853,,,,Keven Pimentel
695477,,,,Slate Alford
688516,,,,Nick Roth
676113,deloaza01,27471,deloz001,Zach DeLoach
683104,,,,Trey Faltine
458913,younger03,7158,youne003,Eric Young
702281,snellro01,,,Robby Snelling
668785,,,,Brandon Martorano
702272,,,,Brady Neal
679693,,,,Carson Coleman
809828,,,,Garrison Sumner
686990,,,,Nolan Letzgus
663381,,,,Utah Jones
821688,,,,Jemone Nuel
825925,,,,Richie Bonomolo
829282,,,,Johandry Ramirez
825754,,,,Alex Ramos
687762,,,,Blake Wehunt
687190,,,,Adam Leverett
686499,,,,Clark Elliott
805268,,,,Peyton Williams
821670,,,,Victor Santos
696516,,,,Cole Patten
815598,,,,Dasan Hill
685298,,,,Cade Bunnell
689577,,,,Aaron Antonini
682254,montgma01,29770,montm003,Mason Montgomery
809244,,,,Bryce Madron
807255,,,,Zach Swanson
671976,petertr01,30063,petet002,Tristan Peters
681234,,,,Charlie Welch
684922,,,,Dalton Shuffield
694364,,,,Caden Grice
809733,,,,Connor Wietgrefe
802450,,,,Grayson Saunier
687406,,,,Tyler Poulin
808818,,,,David Smith
693473,,,,Caleb Wurster
687220,,,,Cameron Repetti
821259,,,,Angel Gonzalez
694340,,,,Tyler Chadwick
802680,,,,Tyler Bradt
805673,matthze01,31827,mattz001,Zebby Matthews
624419,ciuffni01,16291,ciufn001,Nick Ciuffo
656775,mullice01,17929,mullc002,Cedric Mullins
814435,,,,Jacob Sharp
686755,,,,Jaxx Groshans
690993,keithco01,27899,keitc001,Colt Keith
681355,,,,Andrew Cossetti
805842,,,,Brett Johnson
687784,,,,Vince Coletti
836084,,,,Jimmy Anderson
805805,,,,Walker Jenkins
700361,,,,Shawn Goosenberg
832490,,,,Albert Vargas
702856,,,,T. J. Czyz
687109,,,,Mitch Ragan
814354,,,,Yanzel Correa
805780,,,,Cade Kuehler
695508,cauleca01,,,Cameron Cauley
835928,,,,David Medina
681306,,,,Christian MacLeod
671131,rutleja01,26215,rutlj002,Jackson Rutledge
687221,rushida01,31382,rushd001,Dalton Rushing
674007,,,,Mason Cole
663799,terrycu01,18881,terrc001,Curtis Terry
691759,,,,Alejandro Méndez
680734,,,,Kyle Luckham
813620,,,,Carson Rucker
827613,,,,Derek Datil
671088,,,,Tanner Morris
801129,,,,Caden Favors
686336,,,,Hector Lucero
703609,,,,Walter Ford
800394,,,,Adrián Delgado
701361,,,,Jake Clemente
