date,channel,direction,assets_in,assets_out,unresolved,desc
2021-07-30,trade,both,Tyler Burch,Freddy Galvis,0,Baltimore Orioles traded SS Freddy Galvis to Philadelphia Phillies for RHP Tyler Burch.
2021-07-30,trade,both,,Shawn Armstrong,1,Baltimore Orioles traded RHP Shawn Armstrong to Tampa Bay Rays for cash.
2021-08-02,fa_minor,in,Luis Marine,,0,Baltimore Orioles signed free agent RHP Luis Marine to a minor league contract.
2021-08-05,signed_other,in,Donta' Williams,,0,Baltimore Orioles signed OF Donta' Williams.
2021-08-05,waiver_claim,in,Jorge Mateo,,0,Baltimore Orioles claimed SS Jorge Mateo off waivers from San Diego Padres.
2021-08-05,signed_other,in,John Rhodes,,0,Baltimore Orioles signed OF John Rhodes.
2021-08-05,signed_other,in,Trendon Craig,,0,Baltimore Orioles signed OF Trendon Craig.
2021-08-07,waiver_loss,out,,Shaun Anderson,0,San Diego Padres claimed RHP Shaun Anderson off waivers from Baltimore Orioles.
2021-08-09,waiver_loss,out,,Conner Greene,0,Los Angeles Dodgers claimed RHP Conner Greene off waivers from Baltimore Orioles.
2021-08-18,waiver_claim,in,Zack Burdi,,0,Baltimore Orioles claimed RHP Zack Burdi off waivers from Chicago White Sox.
2021-08-20,waiver_claim,in,Chris Ellis,,0,Baltimore Orioles claimed RHP Chris Ellis off waivers from Tampa Bay Rays.
2021-08-23,waiver_claim,in,Conner Greene,,0,Baltimore Orioles claimed RHP Conner Greene off waivers from Los Angeles Dodgers.
2021-08-25,passive_loss,out,,Maikel Franco,0,Baltimore Orioles released 3B Maikel Franco.
2021-09-16,waiver_claim,in,Brooks Kriske,,0,Baltimore Orioles claimed RHP Brooks Kriske off waivers from New York Yankees.
2021-09-21,waiver_claim,in,Joey Krehbiel,,0,Baltimore Orioles claimed RHP Joey Krehbiel off waivers from Tampa Bay Rays.
2021-10-14,waiver_loss,out,,Zack Burdi,0,Arizona Diamondbacks claimed RHP Zack Burdi off waivers from Baltimore Orioles.
2021-11-03,passive_loss,out,,Matt Harvey,0,RHP Matt Harvey elected free agency.
2021-11-03,passive_loss,out,,Fernando Abad,0,LHP Fernando Abad elected free agency.
2021-11-03,waiver_loss,out,,Eric Hanhold,0,Pittsburgh Pirates claimed RHP Eric Hanhold off waivers from Baltimore Orioles.
2021-11-05,waiver_loss,out,,Hunter Harvey,0,San Francisco Giants claimed RHP Hunter Harvey off waivers from Baltimore Orioles.
2021-11-08,waiver_claim,in,Bryan Baker,,0,Baltimore Orioles claimed RHP Bryan Baker off waivers from Toronto Blue Jays.
2021-11-12,fa_minor,in,Rico Garcia,,0,Baltimore Orioles signed free agent RHP Rico Garcia to a minor league contract.
2021-11-12,fa_minor,in,Spenser Watkins,,0,Baltimore Orioles signed free agent RHP Spenser Watkins to a minor league contract.
2021-11-19,fa_minor,in,Marcos Diplán,,0,Baltimore Orioles signed free agent RHP Marcos Diplan to a minor league contract.
2021-11-19,waiver_claim,in,Lucius Fox,,0,Baltimore Orioles claimed SS Lucius Fox off waivers from Kansas City Royals.
2021-11-24,waiver_claim,in,Cionel Pérez,,0,Baltimore Orioles claimed LHP Cionel Perez off waivers from Cincinnati Reds.
2021-11-29,passive_loss,out,,Brooks Kriske,0,Baltimore Orioles released RHP Brooks Kriske.
2021-11-29,fa_minor,in,Denyi Reyes,,0,Baltimore Orioles signed free agent RHP Denyi Reyes to a minor league contract.
2021-11-30,fa_major,in,Rougned Odor,,0,Baltimore Orioles signed free agent 2B Rougned Odor.
2021-11-30,waiver_loss,out,,Lucius Fox,0,Washington Nationals claimed SS Lucius Fox off waivers from Baltimore Orioles.
2021-12-01,fa_minor,in,Jacob Nottingham,,0,Baltimore Orioles signed free agent C Jacob Nottingham to a minor league contract.
2021-12-06,fa_minor,in,Bryan Bautista,,0,Baltimore Orioles signed free agent RHP Bryan Bautista to a minor league contract.
2021-12-06,fa_minor,in,Jarlin Guerrero,,0,Baltimore Orioles signed free agent RHP Jarlin Guerrero to a minor league contract.
2021-12-07,fa_minor,in,Noelin Cuevas,,0,Baltimore Orioles signed free agent LHP Noelin Cuevas to a minor league contract.
2021-12-07,fa_minor,in,Darwin Caballero,,0,Baltimore Orioles signed free agent RHP Darwin Caballero to a minor league contract.
2021-12-07,fa_minor,in,Wilton Rondon,,0,Baltimore Orioles signed free agent RHP Wilton Rondon to a minor league contract.
2021-12-07,fa_minor,in,Raynel Duran,,0,Baltimore Orioles signed free agent RHP Raynel Duran to a minor league contract.
2021-12-14,fa_minor,in,Matt Vogel,,0,Baltimore Orioles signed free agent RHP Matt Vogel to a minor league contract.
2021-12-15,fa_minor,in,Luis De León,,0,Baltimore Orioles signed free agent LHP Luis De Leon to a minor league contract.
